"일자(stdr_de_id)","시간(tmzon_pd_se)","행정동코드(adstrd_code_se)","집계구코드(oa_cd)","생활인구합계(tot_lvpop_co)","남자0~9세(male_f0t9_lvpop_co)","남자10~14세(male_f10t14_lvpop_co)","남자15~19세(male_f15t19_lvpop_co)","남자20~24세(male_f20t24_lvpop_co)","남자25~29세(male_f25t29_lvpop_co)","남자30~34세(male_f30t34_lvpop_co)","남자35~39세(male_f35t39_lvpop_co)","남자40~44세(male_f40t44_lvpop_co)","남자45~49세(male_f45t49_lvpop_co)","남자50~54세(male_f50t54_lvpop_co)","남자55~59세(male_f55t59_lvpop_co)","남자60~64세(male_f60t64_lvpop_co)","남자65~69세(male_f65t69_lvpop_co)","남자70~74세(male_f70t74_lvpop_co)","남자75~79세(male_f75t79_lvpop_co)","남자80세이상(male_above_80_lvpop_co)","여자0~9세(female_f0t9_lvpop_co)","여자10~14세(female_f10t14_lvpop_co)","여자15~19세(female_f15t19_lvpop_co)","여자20~24세(female_f20t24_lvpop_co)","여자25~29세(female_f25t29_lvpop_co)","여자30~34세(female_f30t34_lvpop_co)","여자35~39세(female_f35t39_lvpop_co)","여자40~44세(female_f40t44_lvpop_co)","여자45~49세(female_f45t49_lvpop_co)","여자50~54세(female_f50t54_lvpop_co)","여자55~59세(female_f55t59_lvpop_co)","여자60~64세(female_f60t64_lvpop_co)","여자65~69세(female_f65t69_lvpop_co)","여자70~74세(female_f70t74_lvpop_co)","여자75~79세(female_f75t79_lvpop_co)","여자80세이상(female_above_80_lvpop_co)","등록일자(ldadng_dt)"
"20170226","04","11320515","1125061020007",4.3097,11.9781,8.2257,1.8759,4.2075,6.2647,13.491,13.5164,19.3318,3.2175,13.066,0.7311,10.3675,54.4338,10.7428,12.6761,18.0326,7.0317,5.5756,0,69.8919,3.1963,4.7035,26.6858,9.0816,52.6711,24.9152,3.6202,91.3448,13.6818,45.288,2.3141,9.7668,"2021-08-17 16:06:44"
"20180107","22","11380510","1115071010309",338.39,23.2446,3.1141,1.9972,2.6983,0.124,8.4651,41.6914,22.2405,4.9491,1.8381,30.3084,13.7607,97.4777,3.6484,9.7834,0.2893,16.1067,0.8653,10.7006,7.4951,38.6849,3.0502,28.1586,10.0707,9.915,14.671,29.2192,0.1533,36.7707,0.9227,4.6111,18.1781,"2021-08-17 16:06:44"
"20180317","06","11680610","1113073020101",1805.5256,4.372,324.3596,10.835,12.1324,20.4938,1.2299,8.7144,2.7745,14.5924,0,11.9257,24.6389,14.9729,2.895,0.4771,2.5403,5.8279,3.1995,1.8497,16.2171,26.3395,14.2421,13.5087,28.8794,19.4895,1.6087,16.2525,8.164,34.3989,3.403,3.8434,4.4772,"2021-08-17 16:06:44"
"20190222","07","11305575","1106071020403",504.4956,14.0599,14.3256,3.5239,19.3154,6.8197,27.6958,12.721,6.7337,15.4511,40.2103,12.8763,2.606,16.5976,26.595,2.0595,2.8305,0,22.7044,78.334,2.4909,0.7531,3.2849,8.0677,0.265,36.5731,14.3217,35.7359,7.2808,6.9919,27.4321,1.8361,7.751,"2021-08-17 16:06:44"
"20210706","06","11740660","1107073040015",744.6219,0.5662,2.9824,2.9719,31.0868,7.2338,115.6026,29.4255,0.0101,11.8739,20.6386,12.2651,0.9932,21.8928,34.269,16.8731,4.8298,22.4978,5.5825,2.4752,7.1306,0.2553,29.5942,0.7319,39.7471,1.523,47.5514,63.4768,52.3638,35.3496,32.1275,85.6665,95.0249,"2021-08-17 16:06:44"
"20170801","01","11530750","1123065020005",265.0386,4.6381,2.6234,15.7882,1.6462,23.5687,1.3778,7.0307,0.2181,28.7212,13.6892,11.0816,0,11.8515,0.7396,2.3261,1.4768,18.8963,1.6944,13.8495,10.9026,0.0011,5.0968,10.7459,7.4,10.4536,10.7581,2.3868,17.6019,1.136,3.6187,4.5029,5.1927,"2021-08-17 16:06:44"
"20190502","10","11620735","1101073010008",525.5375,7.565,41.2216,8.8568,5.4592,3.0553,27.3446,67.1097,22.851,17.1022,4.2353,1.053,21.5353,2.8318,2.3722,1.4573,0.3859,9.1815,8.0813,2.0917,39.7572,12.9935,36.7447,0.1236,21.8547,8.0597,8.361,17.3056,7.6679,3.0065,11.5081,2.932,21.4579,"2021-08-17 16:06:44"
"20170408","08","11740685","1119066010105",1079.7134,4.0917,10.8796,12.4219,1.6562,21.9264,60.8998,13.3351,14.3471,20.5974,14.061,19.4427,25.7427,25.2847,1.1788,1.106,7.1996,7.2,4.7027,0.007,27.636,0,28.4435,34.4449,10.8313,23.4527,4.1431,22.1996,26.9575,8.3431,14.4447,48.9427,0.0104,"2021-08-17 16:06:44"
"20200614","01","11260655","1125067010020",1036.2064,40.3825,1.7486,39.8508,29.1526,4.6644,4.8052,8.8575,14.6924,14.2116,46.2901,8.4947,19.3629,4.5546,2.0851,10.0217,7.388,2.8282,0.4488,5.8563,12.5971,3.9018,19.4061,23.8992,22.9719,12.4215,73.206,4.0706,20.4086,14.1957,12.437,4.9715,4.1581,"2021-08-17 16:06:44"
"20201222","22","11350611","1111078010103",1364.5008,14.9106,4.2902,0,9.8438,111.6884,91.9557,17.7625,22.9624,1.853,16.2201,15.9518,12.1719,6.0473,0.3224,21.1435,5.2803,7.0365,9.5685,21.6183,18.5415,17.4535,7.8596,11.5627,28.9179,0.1007,2.4184,26.5816,6.5845,1.4204,7.7075,0,6.3707,"2021-08-17 16:06:44"
